jurisdiction,category,score,justification,source_file
New York City (LL15),Applicability scope,2,Mandatory requirement applied to new buildings and certain alterations under DOB permitting; not limited to optional program universe.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Trigger clarity,2,Trigger is text-scoreable: projects filed on or after effective date and involving new buildings or replacement of all exterior glazing.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Collision-risk zone definition,2,Explicit regulated vertical zone up to 75 feet above grade for bird-friendly materials requirements.,nyc_ny_ll15_2020_official_text_excerpt.md
New York City (LL15),Glass/material performance standard,2,Uses an operational technical standard for bird-friendly materials implemented through DOB guidance.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Feature-hazard definitions,2,Defines hazards such as fly-through conditions and bird hazard installations to operationalize compliance.,nyc_ny_ll15_2020_official_text_excerpt.md
New York City (LL15),Location-hazard definitions,0,No location or proximity-based hazard logic; compliance is structured primarily around a height-based zone.,nyc_ny_ll15_2020_official_text_excerpt.md
New York City (LL15),Acceptable treatment specificity,1,Guidance operationalizes bird-friendly materials but does not enumerate a closed list of acceptable treatments.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Lighting restrictions,0,No lighting requirements are stated in Local Law 15 or associated DOB guidance.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Compliance documentation requirement,2,Compliance is tied to DOB plan and permit review with required documentation demonstrating bird-friendly materials.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Review gate strength,2,Clear permit-based review gate where compliance is checked during DOB permitting and filings.,nyc_ny_ll15_dob_guidance_excerpt.md
New York City (LL15),Enforcement mechanism strength,1,Enforcement occurs through permit approval and violation architecture rather than an explicit penalty schedule within the section.,nyc_ny_ll15_2020_official_text_excerpt.md
New York City (LL15),Exceptions or waivers breadth,1,Narrow applicability and trigger structure function as implicit carveouts but explicit broad waivers are not central.,nyc_ny_ll15_dob_guidance_excerpt.md
Chicago (SDP),Applicability scope,1,Applies only to a limited universe of projects subject to DPD review or city assistance pathways.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Trigger clarity,1,Trigger is defined by SDP applicability categories rather than universal construction thresholds.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Collision-risk zone definition,0,Bird protection strategies are not tied to a defined height band or collision-risk zone.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Glass/material performance standard,1,Provides strategy options without a single quantified universal performance standard.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Feature-hazard definitions,0,Does not rely on codified architectural hazard definitions as a core compliance driver.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Location-hazard definitions,0,No explicit location-based hazard designation is required for bird protection strategy selection.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Acceptable treatment specificity,1,Bird protection is addressed through basic and enhanced strategy options rather than codified treatment rules.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Lighting restrictions,1,Lighting considerations appear as part of broader sustainability strategies rather than mandatory bird-specific restrictions.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Compliance documentation requirement,2,SDP requires documentation and review for compliance and includes audit mechanisms within the SDP process.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Review gate strength,1,Review gate exists through SDP eligibility and compliance but is program-based rather than a citywide permit mandate.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Enforcement mechanism strength,1,Enforcement relies on eligibility and approval gatekeeping rather than standalone citywide code penalties.,chicago_il_sdp_bird_protection_excerpt.md
Chicago (SDP),Exceptions or waivers breadth,1,Menu-based compliance structure creates functional carveouts because projects may satisfy requirements through alternative strategies.,chicago_il_sdp_bird_protection_excerpt.md
